dataset,0_EM,1_CSM,2_VSM,5_RM,3_FCBRB (ND),4_FCBRB (D)
ED,1222,16967,26888,44304113,16508648,451304088
FO,16527,3428234,5182751,1583004565,220302540,2476015882
MI,8956,85118,92632,65240625,7724923,666405210
PO,2869,16343,23303,101635210,20504220,490124878
TV,2458,99788,190854,633067696,178447335,2128612405
AT,542564,2130676,5613380,,1756607,23232458
MD,63426,99119,299584,,149910,233593
CH,278094,948499,2972531,,919238,3027411
OR,36468,72451,104856,,63655,277265
UT,6782,7832,29328,,165130,87790862

